economy,time,Country,Time,DT.DOD.DECT.GN.ZS,FP.CPI.TOTL.ZG,GC.DOD.TOTL.GD.ZS,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,SI.POV.GINI,SL.UEM.TOTL.ZS
CHL,YR1979,Chile,1979,,33.3892190102252,,8.43582175738598,4341.27884005509,,
CHL,YR1978,Chile,1978,,40.0872246313854,,8.02682491365691,4063.41850322282,,
CHL,YR1977,Chile,1977,,91.9541325565104,,11.1491944807539,3818.62804303532,,
CHL,YR1976,Chile,1976,,211.924302225904,,3.60469484521828,3488.60951805533,,
CHL,YR1975,Chile,1975,,374.735274232635,,-12.2737621533613,3419.8279711603,,
CHL,YR1974,Chile,1974,,504.738541215978,,1.2495800122858,3959.79582475475,,
CHL,YR1973,Chile,1973,,352.810986573029,,-5.03775611682208,3973.5039726836,,
CHL,YR1972,Chile,1972,,77.7957404755204,,-0.712365918422577,4252.43567121887,,
CHL,YR1971,Chile,1971,,20.0522312040536,,9.57107393842624,4353.53619549239,,
CHL,YR1970,Chile,1970,,,,1.69447257971353,4039.58221003868,,
CHL,YR1969,Chile,1969,,,,4.10317976748962,4040.0058011806,,
CHL,YR1968,Chile,1968,,,,3.57371701447551,3948.30026572163,,
CHL,YR1967,Chile,1967,,,,3.58811073177469,3879.66399521903,,
CHL,YR1966,Chile,1966,,,,11.4634218589357,3813.4880420372,,
CHL,YR1965,Chile,1965,,,,0.670838636062939,3485.3610467235,,
CHL,YR1964,Chile,1964,,,,2.46113427734542,3528.8579265412,,
CHL,YR1963,Chile,1963,,,,5.68667190016438,3512.5701002739,,
CHL,YR1962,Chile,1962,,,,3.93078479110629,3391.27067852121,,
CHL,YR1961,Chile,1961,,,,5.51961070344885,3330.52707974518,,
CHL,YR1960,Chile,1960,,,,,3222.68320691095,,
PER,YR2023,Peru,2023,37.1975658585426,6.45561348369586,,-0.403242151494268,6568.0002779793,40.7,4.899
PER,YR2022,Peru,2022,39.9788909505895,8.33370630096231,,2.8090335533015,6667.51695632036,40.3,4.291
PER,YR2021,Peru,2021,42.6071664051668,4.27166381536798,35.2492265687178,13.3626240903125,6547.84718181776,40.1,5.097
PER,YR2020,Peru,2020,38.1780303630646,2.00241205759292,34.7649150394579,-10.9333065010382,5831.83024758521,43.7,7.179
PER,YR2019,Peru,2019,29.5044834900041,2.25212191358027,26.5266050337015,2.24063176875049,6626.26083494969,41.5,3.379
PER,YR2018,Peru,2018,32.4819714568868,1.50915423024742,25.7290009540889,3.969351341365,6593.14437459526,42.4,3.492
PER,YR2017,Peru,2017,33.9083827987592,2.99490045809443,24.7483395083352,2.51883544233135,6457.41940254721,43.3,3.691
PER,YR2016,Peru,2016,38.1972280258854,3.55717663556279,23.7062564307639,3.95331871520767,6392.25474941014,43.6,3.741
PER,YR2015,Peru,2015,37.0040696483009,3.39809194746308,22.8655544691074,3.25224477218451,6231.71150338894,43.4,3.272
PER,YR2014,Peru,2014,35.4246138507104,3.41194579807465,19.5653895947835,2.38215737180541,6103.91864749969,43.1,3.208
PER,YR2013,Peru,2013,33.3041875254961,2.76789666082002,18.3944203835483,5.85251821084928,6021.46142765232,43.9,3.575
PER,YR2012,Peru,2012,34.14014373807,3.61121294940163,19.2166594578957,6.13972470560435,5740.04346272472,44.4,3.238
PER,YR2011,Peru,2011,28.2946982865762,3.36931095333853,20.7202165716448,6.32719240161117,5453.45718713631,44.7,3.477
PER,YR2010,Peru,2010,30.8386747274741,1.52832059732901,23.6817913403586,8.33245910749577,5167.39259325937,45.5,3.6
PER,YR2009,Peru,2009,32.9985559972393,2.936231535967,26.4008658746012,1.0958236592427,4801.17153740507,47.0,3.96
